nombre;dpto;dpto_desc;distrito;dist_desc;codigo_institucion;?column?
9-133;9;PARAGUARI;5;CARAPEGUA;15974;-
15396;5;CAAGUAZU;22;NUEVA TOLEDO;4124;-
340 MANUEL ORTIZ GUERRERO;4;GUAIRA;1;VILLARRICA;2738;-
SANTA TERESITA;11;CENTRAL;8;LIMPIO;8081;-
736 DOÑA JUANA MARIA DE LARA;7;ITAPUA;14;HOHENAU;5140;-
11-361;11;CENTRAL;3;FERNANDO DE LA MORA;11914;-
CRISTIANO SUDAMERICANO;11;CENTRAL;3;FERNANDO DE LA MORA;7798;-
6597 (11629) SAN JOSE;4;GUAIRA;17;PASO YOBAI;2954;-
1097 INMACULADA CONCEPCION;5;CAAGUAZU;2;CAAGUAZU;3307;-
5119 (13758) SAN ANTONIO;6;CAAZAPA;7;SAN JUAN NEPOMUCENO;4440;-
ESC. INTEGRAL DE CAPACITACION Y DESARR;0;ASUNCION;0;ASUNCION;13594;-
11-81 GRAL ANDRES DELMAS;11;CENTRAL;15;VILLA ELISA;8019;-
7573 VIRGEN DE CAACUPE DE FE Y ALEGRIA;11;CENTRAL;9;LUQUE;16285;-
1361 MAESTRA SARA DE BARRIOS;11;CENTRAL;17;YPACARAI;8758;-
224 TAVAPY;9;PARAGUARI;12;SAN ROQUE GONZALEZ;6252;-
INFOTEC;2;SAN PEDRO;14;GENERAL RESQUIN;16219;-
RIACHO MOSQUITO;17;ALTO PARAGUAY;2;LA VICTORI A;16635;-
2813 SAN RAMON;9;PARAGUARI;8;MBUYAPEY;6126;-
CENTRO DE CAPACITACION EMPRESARIAL UV 7;0;ASUNCION;0;ASUNCION;329;-
AGUSTIN BARRIOS;8;MISIONES;1;SAN JUAN BAUTISTA;11627;-
7-36;7;ITAPUA;21;SAN RAFAEL DEL PARANA;5379;-
S/N;10;ALTO PARANA;1;CIUDAD DEL  ESTE;6652;-
3746 VIRGEN DE LAS MERCEDES;2;SAN PEDRO;14;GENERAL RESQUIN;2109;-
504 SAGRADO CORAZON DE JESUS;2;SAN PEDRO;1;SAN PEDRO DEL YKUAMANDIYU;1285;-
3-78;3;CORDILLERA;7;EUSEBIO AYALA;2488;-
MARIA;7;ITAPUA;1;ENCARNACION;10827;-
499 T.I.C.E.I. TICEL;0;ASUNCION;0;ASUNCION;93;-
SAN FRANCISCO DE ASIS;5;CAAGUAZU;2;CAAGUAZU;3437;-
3265 (12125) VIRGEN DE FATIMA;7;ITAPUA;21;SAN RAFAEL DEL PARANA;5338;-
3715 (13421) SAN FRANCISCO DE ASIS;2;SAN PEDRO;1;SAN PEDRO DEL YKUAMANDIYU;1249;-
6-33;6;CAAZAPA;1;CAAZAPA;4241;-
7716 ASENTAMIENTO ISLA VERDE;14;CANINDEYU;10;NUEVA ESPERANZA;16482;-
DR. RAUL PEÑA;2;SAN PEDRO;8;SAN ESTANISLAO;1863;-
3937 (13864) STA.ROSA DE LIMA;3;CORDILLERA;6;EMBOSCADA;2447;-
5517 (13879);10;ALTO PARANA;13;SANTA RITA;7288;-
LA PURISIMA CONCEPCION DE MARIA;5;CAAGUAZU;10;SAN JOSE DE LOS ARRO;3788;-
5044 (13134) MARIA AUXILIADORA;5;CAAGUAZU;8;NUEVA LONDRES;3704;-
MCAL. LOPEZ;13;AMAMBAY;3;CAPITAN BADO;9254;-
LIBERACION NORTE;2;SAN PEDRO;3;CHORE;1447;-
6794 (14903) SAN CAYETANO;6;CAAZAPA;2;ABAI;4318;-
866 EMILIANO R. FERNANDEZ;3;CORDILLERA;13;NUEVA COLOMBIA;2563;-
5261 (10342) VIRGEN DE FATIMA;4;GUAIRA;1;VILLARRICA;2751;-
DEL INTERNADO EVANGELICO;7;ITAPUA;14;HOHENAU;5150;-
431 JUAN PEREIRA;3;CORDILLERA;8;ISLA PUCU;2503;-
4946 (13318);1;CONCEPCION;8;AZOTEY;1013;-
7799 MBO'EHARA SERAFINA BENITEZ;10;ALTO PARANA;6;ITAKYRY;16602;-
RAMON INDALECIO CARDOZO;7;ITAPUA;1;ENCARNACION;12194;-
7384 NTRA. SRA. DE FATIMA;11;CENTRAL;7;LAMBARE;13964;-
7855 JUAN PABLO II;10;ALTO PARANA;11;MINGA GUAZU;16661;-
S/N COSTA BARRIOS;4;GUAIRA;4;CNEL MARTINEZ;11588;-
3508 3 DE FEBRERO;10;ALTO PARANA;6;ITAKYRY;6971;-
3-110;9;PARAGUARI;13;SAPUCAI;10784;-
2835 CARLOS A. LOPEZ;11;CENTRAL;9;LUQUE;8134;-
667 DR. CAYO ROMERO PEREIRA;9;PARAGUARI;9;PIRAYU;6159;-
1990 SAN ANTONIO;5;CAAGUAZU;14;RAUL ARSENIO OVIEDO;4009;-
5420 (13980) INMACULADA CONCEPCIÓN;10;ALTO PARANA;1;CIUDAD DEL ESTE;6451;-
SANTA CLARA;1;CONCEPCION;8;AZOTEY;1012;-
S/N LOCALIDAD DURAZNO;6;CAAZAPA;2;ABAI;11499;-
PANCHITO LOPEZ;2;SAN PEDRO;3;CHORE;1437;-
1948 VIRGEN DE LOURDES;2;SAN PEDRO;4;GENERAL ELIZARDO AQUINO;1488;-
686 PROF. JULIO FRONTANILLA;9;PARAGUARI;1;PARAGUARI;5883;-
NIÑOS MARTIRES DE ACOSTA ÑU;11;CENTRAL;18;YPANE;15808;-
S-S NRO. 3;11;CENTRAL;6;ITAUGUA;7938;-
3309 SAN PEDRO;5;CAAGUAZU;2;CAAGUAZU;3308;-
S/N;4;GUAIRA;10;JOSE FASSARDI;3049;-
SANTA ROSA DE LIMA;11;CENTRAL;9;LUQUE;8298;-
5715 (13753);14;CANINDEYU;3;CURUGUATY;9431;-
2-95;2;SAN PEDRO;19;YRYVU CUA;15309;-
2056 SAN RAFAEL;7;ITAPUA;20;SAN PEDRO DEL PARANA;5309;-
6418 MARIA AUXILIADORA;11;CENTRAL;2;CAPIATA;11538;-
CYBER LOGIC;11;CENTRAL;3;FERNANDO DE LA MORA;15342;-
4660 (14689) SAN ISIDRO LABRADOR;11;CENTRAL;18;YPANE;8785;-
3668 (11011) EZEQUIEL GIMENEZ;8;MISIONES;6;SANTA MARIA;5778;-
7392 UNION GUARANI;11;CENTRAL;6;ITAUGUA;13967;-
SAN JOSE;2;SAN PEDRO;8;SAN ESTANISLAO;1876;-
7118 18 DE AGOSTO;7;ITAPUA;23;EDELIRA;8372;-
5496 (14330) SANTA TERESITA;10;ALTO PARANA;11;MINGA GUAZU;7175;-
5524 (14898) MARISCAL LOPEZ;10;ALTO PARANA;6;ITAKYRY;6997;-
AMISTAD;2;SAN PEDRO;16;GUAJAYVI;2250;-
6 RCA. DE COLOMBIA;0;ASUNCION;0;ASUNCION;396;-
312 PROF. RICARDA IBARRA;9;PARAGUARI;6;ESCOBAR;6092;-
7692 (15385) LA PALOMA;11;CENTRAL;2;CAPIATA;7689;-
322 SILVIA MIRANDA;0;ASUNCION;0;ASUNCION;150;-
MARIA CRISTINA II;9;PARAGUARI;2;ACAHAY;5952;-
DR. BLAS GARAY (EX ITAPUA POTY);7;ITAPUA;30;ITAPUA POTY;4812;-
4356 (10068) SAN LORENZO;1;CONCEPCION;3;HORQUETA;1004;-
ATENEO DE LENGUA - REGIO. SAN ESTANISLAO;2;SAN PEDRO;8;SAN ESTANISLAO;10272;-
7931 MAILVINAS;6;CAAZAPA;10;YUTY;16813;-
COL. PRIV. SAN NICOLAS;0;ASUNCION;0;ASUNCION;11648;-
5318 (13462);4;GUAIRA;9;ITURBE;3019;-
ITAVERA;10;ALTO PARANA;3;DOMINGO MARTINEZ DE IRALA;11824;-
99 MARIA AUXILIADORA;0;ASUNCION;0;ASUNCION;27;-
6-49;6;CAAZAPA;2;ABAI;13943;-
COLEGIO PRIV. SANTA MARIA;10;ALTO PARANA;1;CIUDAD DEL ESTE;6641;-
1-57 STO. DOMINGO DE GUZMAN;1;CONCEPCION;1;CONCEPCION;847;-
6147 8 DE DICIEMBRE;7;ITAPUA;17;OBLIGADO;11080;-
5331 (10969) SAN RAFAEL;8;MISIONES;4;SAN MIGUEL;5757;-
ICC;0;ASUNCION;0;ASUNCION;419;-
NACIONAL;0;ASUNCION;0;ASUNCION;657;-
RVDO. PADRE NICOLAS DA CUNHA;7;ITAPUA;12;GENERAL ARTIGAS;5117;-
6349  SAN ROQUE;11;CENTRAL;1;AREGUA;11532;-
1351 JUAN S. VILLALBA;9;PARAGUARI;3;CAAPUCU;5958;-
4466 (13336) JUAN PABLO II;7;ITAPUA;25;ALTO VERA;5521;-
3215 JOHANNES GUTEMBERG;0;ASUNCION;0;ASUNCION;690;-
1475 JOSE L. MIÑO;2;SAN PEDRO;20;LIBERACION;1399;-
13133 SAN JUAN EVANGELISTA;5;CAAGUAZU;1;CORONEL OVIEDO;3183;-
VIRGEN DEL ROSARIO;5;CAAGUAZU;11;YHU;3839;-
5-21;5;CAAGUAZU;6;DR. JUAN MANUEL FRUTOS;3614;-
SAN LORENZO;10;ALTO PARANA;6;ITAKYRY;6938;-
2041 DON VIDAL FLOR JARA;7;ITAPUA;20;SAN PEDRO DEL PARANA;5317;-
269 JULIO CORREA;11;CENTRAL;9;LUQUE;8139;-
6539 KUETUVY;14;CANINDEYU;4;VILLA YGATIM?;13204;-
3649 (13876) SAN IGNACIO DE LOYOLA;11;CENTRAL;15;VILLA ELISA;8667;-
11-344;11;CENTRAL;14;SAN LORENZO;13859;-
SAN MIGUEL;14;CANINDEYU;11;YASY KAÐY;12919;-
4431 (14654) SANTA MARIA;2;SAN PEDRO;4;GENERAL ELIZARDO AQUINO;1515;-
997 VIRGEN DE FATIMA;2;SAN PEDRO;14;GENERAL RESQUIN;2045;-
5156 (11810) DOÑA JUANA MARIA DE LARA;6;CAAZAPA;2;ABAI;4278;-
5196 (12907) MARTIRES DE ACOSTA ÑU;7;ITAPUA;19;SAN COSME Y DAMIAN;5251;-
4648 EMILIANO RIVAROLA FERNANDEZ;2;SAN PEDRO;17;CAPIIBARY;1883;-
CENTRO DE EDUCACION ESPECIAL KO'E PYAHU;11;CENTRAL;9;LUQUE;11114;-
NUEVA COLOMBIA;3;CORDILLERA;13;NUEVA COLOMBIA;2561;-
4-49 SANTA TERESA;4;GUAIRA;17;PASO YOBAI;2982;-
959 PROF.MERCEDES IBARRA;11;CENTRAL;3;FERNANDO DE LA MORA;7708;-
2665 MCAL. JOSE FELIZ ESTIGARRIBIA;12;ÐEEMBUCU;2;ALBERDI;8870;-
CENTRO EDUCATIVO MBARACAYU;14;CANINDEYU;4;IGATIMI;16361;-
563 JUAN ANDRES AGUILERA;3;CORDILLERA;9;ITACURUBI DE LA CORDILLERA;2518;-
5562 (14381) PRIV. MI PASTORCITO;11;CENTRAL;6;ITAUGUA;7900;-
4564 (14386) DIVINO NI­O DE JESUS;11;CENTRAL;9;LUQUE;8184;-
2923 EDILTRUDIS LESME DE INSFRAN;13;AMAMBAY;1;PEDRO JUAN CABALLERO;9080;-
6691 (15105) ACOSTA ÑU;1;CONCEPCION;3;HORQUETA;865;-
7951 KATUPYRY RENDA;6;CAAZAPA;10;YUTY;16842;-
1553 SAN MIGUEL;7;ITAPUA;6;NUEVA ALBORADA;4896;-
AGROPECUARIO SAN ISIDRO LABRADOR;2;SAN PEDRO;17;CAPIIBARY;15290;-
SAN JOSE OBRERO;7;ITAPUA;1;ENCARNACION;4729;-
4633 (15097) SAKURA;11;CENTRAL;8;LIMPIO;8113;-
S/Nº - SAN JUAN;15;PRESIDENTE HAYES;56;MENNO;9797;-
197 GRAL. JOSE G. ARTIGAS;7;ITAPUA;12;GENERAL ARTIGAS;5091;-
5478 (14308) SAN ROQUE;10;ALTO PARANA;16;MINGA PORA;7403;-
166 GRAL. BERNARDINO CABALLERO;7;ITAPUA;12;GENERAL ARTIGAS;5090;-
750 CABO 1º LIBORIO TALAVERA;15;PRESIDENTE HAYES;6;JOSE FALCON;9928;-
12-9;12;ÐEEMBUCU;15;VILLA OLIVA;9032;-
3582 (13942) NTRA. SRA. DE LA ASUNCION;7;ITAPUA;23;EDELIRA;5414;-
VIRGEN DEL CARMEN;11;CENTRAL;1;AREGUA;7526;-
AVANZADO;2;SAN PEDRO;4;ELIZARDO A;15939;-
6042 PRIVADO SEMBRADOR;11;CENTRAL;2;CAPIATA;11333;-
CNEL. JOSE MA. ARGAÑA;13;AMAMBAY;1;PEDRO J.CABALLERO;9129;-
424 JUAN RAMON CABRAL;3;CORDILLERA;14;PIRIBEBUY;2578;-
5764 (13063) GRAL.ANDRES RODRIGUEZ;14;CANINDEYU;12;YVYRAROBANA;9346;-
JHON F. KENNEDY;1;CONCEPCION;4;LORETO;1087;-
454 MANUEL DOMINGUEZ;3;CORDILLERA;17;SANTA ELENA;2638;-
MAYOR JULIO D. OTAÑO - FUSION/443;1;CONCEPCION;3;HORQUETA;1054;-
14079 ALEXANDER GRAHAM BELL;0;ASUNCION;0;ASUNCION;562;-
330 MARGARITA VEIA DE BIBOLINI;11;CENTRAL;2;CAPIATA;7569;-
PROCERES DE MAYO;11;CENTRAL;15;VILLA ELISA;8696;-
4665 15 DE AGOSTO;1;CONCEPCION;9;SGTO. JOSE FELIX LOPEZ;1217;-
1728 LORETO ARCE;1;CONCEPCION;4;LORETO;1107;-
ATENEO DE LENGUA - REG. Bº. MA.MAGDALENA;10;ALTO PARANA;5;HERNANDARIAS;10272;-
VIRGEN DEL ROSARIO;11;CENTRAL;6;ITAUGUA;7905;-
17-26;17;ALTO PARAGUAY;2;PUERTO CASADO;16273;-
SAN JORGE;2;SAN PEDRO;20;LIBERACION;1442;-
SAN ISIDRO LABRADOR;14;CANINDEYU;6;YPE JHU;2099;-
7095 NTRA. SRA. DE ALTAGRACIA;11;CENTRAL;16;VILLETA;12672;-
2543 LUIS ALBERTO DEL PARANA;2;SAN PEDRO;20;LIBERACION;1385;-
489 CNEL. JUAN RAMON ESCOBAR;3;CORDILLERA;3;ARROYOS Y ESTEROS;2374;-
ESPIRITU SANTO;10;ALTO PARANA;2;PRESIDENTE  FRANCO;15997;-
14946;15;PRESIDENTE HAYES;3;PUERTO PINASCO;9887;-
28 PROCERES DE MAYO;1;CONCEPCION;3;HORQUETA;923;-
5375 (15375) LA AMISTAD;10;ALTO PARANA;5;HERNANDARI AS;6925;-
5164 (10715);6;CAAZAPA;2;ABAI;4269;-
4919 (14640) VIRGEN DE FATIMA;1;CONCEPCION;4;LORETO;1120;-
M-63 CIMEFOR;0;ASUNCION;0;ASUNCION;8333;-
1317 MADRE TERESA DE CALCUTA;10;ALTO PARANA;14;NARANJAL;7317;-
CENTRO EDUCATIVO ITA;11;CENTRAL;5;ITA;11076;-
4187 (14463) MUNICIPAL Nº14;11;CENTRAL;14;SAN LORENZO;8568;-
7614 PABLO IBAÑEZ;2;SAN PEDRO;14;ISIDORO RESQUIN;16231;-
3452  SAN BLAS;11;CENTRAL;19;J AUGUSTO SALDIVAR;8803;-
NIÑO JESUS;2;SAN PEDRO;14;ISIDORO RESQUIN;16732;-
477 EDUARDO LOPEZ MOREIRA;0;ASUNCION;0;ASUNCION;614;-
14500;17;ALTO PARAGUAY;4;BAHIA NEGRA;2604;-
12798;1;CONCEPCION;7;YBY YAU;1158;-
4748 AMERICAN COLLEGE;0;ASUNCION;0;ASUNCION;10256;-
13696;15;PRESIDENTE HAYES;7;TTE 1RO MANUEL IRALA FERNANDEZ;9825;-
LA ESPERANZA;2;SAN PEDRO;3;CHORE;16821;-
4101 (13633) SAN PABLO APOSTOL;10;ALTO PARANA;9;YGUAZU;6826;-
C.E. INFANTIL ALEMAN Nº7769 SONNENSCHEIN;7;ITAPUA;17;OBLIGADO;16561;-
NATALIO;7;ITAPUA;27;YATYTAY;15479;-
9-104;9;PARAGUARI;1;PARAGUARI;12232;-
3496 SANTA CATALINA;10;ALTO PARANA;5;HERNANDARIAS;6870;-
451 CENTRO EDUCACIONAL RAINBOW;0;ASUNCION;0;ASUNCION;637;-
2425 CRISTO REDENTOR;10;ALTO PARANA;5;HERNANDARIAS;6864;-
14-69;14;CANINDEYU;11;YASY KAÐY;15506;-
5292 (10363);4;GUAIRA;13;ÐUMI;3092;-
